,current_complaint_category,days_open,incident_location,cr_id
62095,THREATS,1176,RESIDENCE,1059883
62096,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,29,POLICE FACILITY/VEH PARKING LOT,1059820
62097,TAKE DOWN (THROWN TO GROUND),137,STREET,1059992
62098,EXCESSIVE FORCE / ON DUTY - NO INJURY,204,RESIDENCE,1059884
62099,MISCELLANEOUS,64,STREET,1059923
62100,EXCESSIVE FORCE / ON DUTY - INJURY,1036,POLICE FACILITY/VEH PARKING LOT,1035352
62101,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,92,APARTMENT,1059790
62102,EXCESSIVE FORCE / ON DUTY - NO INJURY,192,STREET,1059943
62103,MISCELLANEOUS,475,POLICE FACILITY/VEH PARKING LOT,1061324
62104,DOMESTIC INCIDENT - NOT PHYSICAL,1053,POLICE FACILITY/VEH PARKING LOT,1061842
62105,PUSH/PULL/GRAB,38,ALLEY,1061622
62106,FAIL TO SUBMIT,1274,STREET,1037726
62107,EXCESSIVE FORCE / ON DUTY - INJURY,344,RESIDENCE,1061889
62108,"RACIAL / ETHNIC, ETC.",308,SIDEWALK,1059099
62109,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,244,RESIDENCE,1059104
62110,EXCESSIVE FORCE / ON DUTY - NO INJURY,83,STREET,1059102
62111,MISCELLANEOUS,103,STREET,1058818
62112,TAKE DOWN (THROWN TO GROUND),402,RESIDENCE,1059180
62113,MISCELLANEOUS,597,HOSPITAL BUILDING/GROUNDS,1045295
62114,CLOSED HAND STRIKE (PUNCH),139,STREET,1059203
62115,EXCESSIVE FORCE / ON DUTY - NO INJURY,295,STREET,1052384
62116,"RACIAL / ETHNIC, ETC.",120,SIDEWALK,1059086
62117,"RACIAL / ETHNIC, ETC.",308,SIDEWALK,1059099
62118,EXCESSIVE FORCE / OFF DUTY - INJURY,98,RESIDENCE,1059157
62119,KICKED,171,STREET,1062513
62120,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,360,HIGHWAY/EXPRESSWAY,1062630
62121,EXCESSIVE FORCE / ON DUTY - INJURY,485,STREET,1062515
62122,TAKE DOWN (THROWN TO GROUND),147,ALLEY,1062377
62123,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,165,SIDEWALK,1062732
62124,TAKE DOWN (THROWN TO GROUND),192,RESIDENCE,1062378
62125,PUSHED TO GROUND,18,POLICE FACILITY/VEH PARKING LOT,1062766
62126,CLOSED HAND STRIKE (PUNCH),112,"SCHOOL, PUBLIC, BUILDING",1062709
62127,CLOSED HAND STRIKE (PUNCH),89,STREET,1062474
62128,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,164,STREET,1060060
62129,OPEN HAND STRIKE (SLAP),318,STREET,1059948
62130,OPEN HAND STRIKE (SLAP),318,POLICE FACILITY/VEH PARKING LOT,1059948
62131,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,163,STREET,1060068
62132,MISCELLANEOUS,134,"SCHOOL, PUBLIC, GROUNDS",1060084
62133,EXCESSIVE FORCE / ON DUTY - INJURY,133,APARTMENT,1059584
62134,KNEE STRIKE,227,APARTMENT,1060081
62135,NO INJURY,108,RESIDENCE,1060078
62136,CLOSED HAND STRIKE (PUNCH),533,GAS STATION,1059930
62137,EXCESSIVE FORCE / OFF DUTY - INJURY,417,SPORTS ARENA/STADIUM,1061762
62138,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,1356,STREET,1061722
62139,KICKED,155,SIDEWALK,1061747
62140,MISCELLANEOUS,174,STREET,1061783
62141,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,159,ALLEY,1061628
62142,HANDCUFF TOO TIGHT,148,PARK PROPERTY,1061897
62144,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,470,STREET,1061932
62145,PUSH/PULL/GRAB,90,STREET,1061925
62146,TAKE DOWN (THROWN TO GROUND),402,RESIDENCE,1059180
62147,CLOSED HAND STRIKE (PUNCH),436,STREET,1049694
62148,PUSH/PULL/GRAB,145,STREET,1061949
62149,MISCELLANEOUS,324,STREET,1062037
62150,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,491,SIDEWALK,1062050
62151,PUSH/PULL/GRAB,483,RESIDENCE,1062040
62152,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,793,SIDEWALK,1061882
62153,EXCESSIVE FORCE / ON DUTY - INJURY,121,SIDEWALK,1061708
62154,PROPER CARE - INJURY / DEATH,718,JAIL / LOCK-UP FACILITY,1061941
62155,EXCESSIVE FORCE / ON DUTY - INJURY,589,POLICE FACILITY/VEH PARKING LOT,1045139
62156,EXCESSIVE FORCE / ON DUTY - INJURY,563,APARTMENT,1058936
62157,PUSH/PULL/GRAB,211,STREET,1058655
62158,PUSH/PULL/GRAB,683,ALLEY,1058847
62159,EXCESSIVE FORCE / ON DUTY - NO INJURY,181,ALLEY,1058959
62160,PUSH/PULL/GRAB,225,SIDEWALK,1058974
62161,EXCESSIVE FORCE / ON DUTY - NO INJURY,84,STREET,1061703
62162,PUSH/PULL/GRAB,145,STREET,1061949
62163,EXCESSIVE FORCE / ON DUTY - NO INJURY,53,STREET,1061981
62164,PUSH/PULL/GRAB,74,SIDEWALK,1061992
62165,NO INJURY,81,RESIDENCE,1062002
62166,EXCESSIVE FORCE / ON DUTY - NO INJURY,190,STREET,1062024
62167,EXCESSIVE FORCE / ON DUTY - INJURY,1124,"SCHOOL, PUBLIC, BUILDING",1059724
62168,MISCELLANEOUS,64,STREET,1059923
62169,PUSH/PULL/GRAB,17,STREET,1062527
62170,PUSH/PULL/GRAB,122,VACANT LOT/LAND,1062519
62171,PUSH/PULL/GRAB,390,STREET,1062542
62172,MISCELLANEOUS,49,STREET,1062364
62173,EXCESSIVE FORCE / ON DUTY - INJURY,371,STREET,1061694
62174,TAKE DOWN (THROWN TO GROUND),32,STREET,1061669
62175,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,872,STREET,1061954
62176,MISCELLANEOUS,46,STREET,1061826
62177,HANDCUFF TOO TIGHT,148,PARK PROPERTY,1061897
62178,EXCESSIVE FORCE / ON DUTY - INJURY,56,POLICE FACILITY/VEH PARKING LOT,1058851
62179,TAKE DOWN (THROWN TO GROUND),736,POLICE FACILITY/VEH PARKING LOT,1058985
62180,"RACIAL / ETHNIC, ETC.",798,STREET,1058821
62181,HANDCUFF TOO TIGHT,371,STREET,1058899
62182,EXCESSIVE FORCE / ON DUTY - INJURY,563,APARTMENT,1058936
62183,EXCESSIVE FORCE / ON DUTY - INJURY,653,APARTMENT,1059035
62184,TAKE DOWN (THROWN TO GROUND),859,CTA GARAGE / OTHER PROPERTY,1062254
62185,VERBAL ABUSE,1283,PARKING LOT/GARAGE(NON.RESID.),1062191
62186,EXCESSIVE FORCE / ON DUTY - INJURY,62,RESIDENCE PORCH/HALLWAY,1062261
62187,CHOKED,712,SIDEWALK,1062262
62188,MISCELLANEOUS,553,STREET,1062265
62189,"RACIAL / ETHNIC, ETC.",343,STREET,1062181
62190,MISCELLANEOUS,877,STREET,1062173
62191,EXCESSIVE FORCE / ON DUTY - INJURY,333,CHA PARKING LOT/GROUNDS,1062555
62192,MISCELLANEOUS,860,STREET,1062564
62193,PUSH/PULL/GRAB,91,JAIL / LOCK-UP FACILITY,1062408
62194,MISCELLANEOUS,156,"SCHOOL, PUBLIC, GROUNDS",1062412
62195,MISCELLANEOUS,494,STREET,1062276
62196,MISCELLANEOUS,351,CONVENIENCE STORE,1062370
62197,PUSH/PULL/GRAB,425,STREET,1062448
62198,PUSH/PULL/GRAB,390,STREET,1062542
62199,MISCELLANEOUS,94,PARKING LOT/GARAGE(NON.RESID.),1062198
62200,EXCESSIVE FORCE / ON DUTY - INJURY,672,"SCHOOL, PUBLIC, BUILDING",1062581
62201,MISCELLANEOUS,74,POLICE FACILITY/VEH PARKING LOT,1061479
62202,KICKED,844,"SCHOOL, PUBLIC, GROUNDS",1061241
62203,CLOSED HAND STRIKE (PUNCH),926,ALLEY,1061486
62204,EXCESSIVE FORCE / ON DUTY - INJURY,108,STREET,1061263
62205,MISCELLANEOUS,526,POLICE FACILITY/VEH PARKING LOT,1061480
62206,VEHICLE,785,STREET,1061244
62207,MISCELLANEOUS,470,RESIDENCE,1061372
62208,EXCESSIVE FORCE / ON DUTY - INJURY,45,GOVERNMENT BUILDING/PROPERTY,1061511
62209,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,69,RESIDENCE,1061512
62210,CLOSED HAND STRIKE (PUNCH),733,,1059044
62211,HANDCUFF TOO TIGHT,293,STREET,1058844
62212,PUSH/PULL/GRAB,53,RESIDENCE,1058895
62213,DOMESTIC INCIDENT - NOT PHYSICAL,1873,OTHER,1021083
62214,EXCESSIVE FORCE / ON DUTY - NO INJURY,12,RESIDENCE-GARAGE,1062274
62215,MISCELLANEOUS,494,STREET,1062276
62216,MISCELLANEOUS,175,CTA PLATFORM,1058893
62217,CHOKED,42,RESIDENCE PORCH/HALLWAY,1059135
62218,EXCESSIVE FORCE / ON DUTY - INJURY,1147,STREET,1033004
62219,NO INJURY,364,RESIDENCE,1062591
62220,TASER (PROBE DISCHARGE),140,STREET,1062598
62221,MISCELLANEOUS,163,APARTMENT,1061514
62222,MISCELLANEOUS,1145,SIDEWALK,1061399
62223,EXCESSIVE FORCE / ON DUTY - INJURY,463,RESIDENCE,1061515
62224,DOMESTIC INCIDENT - NOT PHYSICAL,718,RESIDENCE PORCH/HALLWAY,1061456
62225,MISCELLANEOUS,170,STREET,1061306
62226,CHOKED,467,"SCHOOL, PUBLIC, BUILDING",1061578
62227,PUSH/PULL/GRAB,38,RESIDENCE PORCH/HALLWAY,1060679
62228,EXCESSIVE FORCE / ON DUTY - INJURY,653,APARTMENT,1059035
62229,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,244,RESIDENCE,1059104
62230,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,314,APARTMENT,1059133
62231,CHOKED,42,RESIDENCE PORCH/HALLWAY,1059135
62232,EXCESSIVE FORCE / ON DUTY - NO INJURY,83,STREET,1059102
62233,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,55,OTHER,1059145
62234,TASER (PROBE DISCHARGE),158,RESIDENCE-GARAGE,1059064
62235,EXCESSIVE FORCE / OFF DUTY - INJURY,98,RESIDENCE,1059157
62236,MISCELLANEOUS,877,STREET,1062173
62237,MISCELLANEOUS,38,SIDEWALK,1062303
62238,EXCESSIVE FORCE / ON DUTY - INJURY,184,STREET,1062304
62239,MISCELLANEOUS,195,SIDEWALK,1062201
62240,FIREARM USED AS AN IMPACT WEAPON,212,RESTAURANT,1062305
62241,CHOKED,623,STREET,1062213
62242,DOMESTIC ALTERCATION - PHYSICAL ABUSE,253,RESIDENCE,1062614
62243,MISCELLANEOUS,52,CTA BUS STOP,1062617
62244,PUSH/PULL/GRAB,137,"SCHOOL, PUBLIC, BUILDING",1062620
62245,MISCELLANEOUS,860,STREET,1062564
62246,EXCESSIVE FORCE / ON DUTY - INJURY,288,POLICE FACILITY/VEH PARKING LOT,1062629
62247,PUSH/PULL/GRAB,17,STREET,1062527
62248,PUSH/PULL/GRAB,122,VACANT LOT/LAND,1062519
62249,EXCESSIVE FORCE / ON DUTY - INJURY,288,SIDEWALK,1062629
62250,"RACIAL / ETHNIC, ETC.",128,POLICE FACILITY/VEH PARKING LOT,1062385
62251,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,360,HIGHWAY/EXPRESSWAY,1062630
62252,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,40,STREET,1061639
62253,MISCELLANEOUS,95,POLICE FACILITY/VEH PARKING LOT,1061637
62254,TAKE DOWN (THROWN TO GROUND),32,STREET,1061669
62255,MISCELLANEOUS,842,STREET,1061664
62256,EXCESSIVE FORCE / ON DUTY - INJURY,463,RESIDENCE,1061515
62257,DOMESTIC ALTERCATION - PHYSICAL ABUSE,692,RESIDENCE,1061604
62258,MISCELLANEOUS,74,POLICE FACILITY/VEH PARKING LOT,1061479
62259,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,218,APARTMENT,1061680
62260,EXCESSIVE FORCE / ON DUTY - INJURY,970,STREET,1061232
62261,EXCESSIVE FORCE / ON DUTY - INJURY,45,GOVERNMENT BUILDING/PROPERTY,1061511
62262,PUSH/PULL/GRAB,206,STREET,1061258
62263,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,69,RESIDENCE,1061512
62264,MISCELLANEOUS,227,RESIDENCE,1062171
62265,EXCESSIVE FORCE / ON DUTY - INJURY,51,STREET,1062077
62266,PUSH/PULL/GRAB,157,STREET,1061788
62267,KICKED,47,PARK PROPERTY,1062093
62268,CLOSED HAND STRIKE (PUNCH),73,STREET,1062164
62269,EXCESSIVE FORCE / ON DUTY - NO INJURY,53,STREET,1061981
62270,"RACIAL / ETHNIC, ETC.",46,STREET,1062166
62271,VERBAL ABUSE,1283,PARKING LOT/GARAGE(NON.RESID.),1062191
62272,CLOSED HAND STRIKE (PUNCH),59,POLICE FACILITY/VEH PARKING LOT,1060915
62273,MISCELLANEOUS,32,SIDEWALK,1062100
62274,CLOSED HAND STRIKE (PUNCH),59,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,1060915
62275,EXCESSIVE FORCE / ON DUTY - INJURY,807,STREET,1062195
62276,MISCELLANEOUS,195,SIDEWALK,1062201
62277,MISCELLANEOUS,228,STREET,1062351
62278,MISCELLANEOUS,58,BAR OR TAVERN,1062319
62279,MISCELLANEOUS,49,STREET,1062364
62280,MISCELLANEOUS,149,STREET,1062365
62281,MISCELLANEOUS,397,RESIDENCE,1062289
62282,EXCESSIVE FORCE / ON DUTY - INJURY,184,STREET,1062304
62283,MISCELLANEOUS,531,CTA BUS,1062242
62284,FIREARM USED AS AN IMPACT WEAPON,212,RESTAURANT,1062305
62285,"RACIAL / ETHNIC, ETC.",46,STREET,1062166
62286,MISCELLANEOUS,38,SIDEWALK,1062303
62288,TAKE DOWN (THROWN TO GROUND),77,STREET,1060098
62289,STALKING,132,,1060103
62290,STALKING,132,RESIDENCE-GARAGE,1060103
62291,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,163,STREET,1060068
62292,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,389,APARTMENT,1059875
62293,MISCELLANEOUS,163,APARTMENT,1061514
62294,EXCESSIVE FORCE / ON DUTY - INJURY,162,POLICE FACILITY/VEH PARKING LOT,1061558
62295,TAKE DOWN (THROWN TO GROUND),97,"SCHOOL, PUBLIC, BUILDING",1061615
62296,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,1160,STREET,1061779
62297,USE OF PROFANITY,465,POLICE FACILITY/VEH PARKING LOT,1061624
62298,USE OF PROFANITY,465,STREET,1061624
62299,PUSH/PULL/GRAB,157,STREET,1061788
62300,SEXUAL ORIENTATION,19,POLICE FACILITY/VEH PARKING LOT,1061712
62301,MISCELLANEOUS,94,PARKING LOT/GARAGE(NON.RESID.),1062198
62302,PUSH/PULL/GRAB,104,STREET,1062122
62303,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,218,APARTMENT,1061680
62304,PUSH/PULL/GRAB,26,STREET,1062126
62305,PUSH/PULL/GRAB,483,RESIDENCE,1062040
62306,PUSH/PULL/GRAB,483,APARTMENT,1062040
62307,MISCELLANEOUS,866,STREET,1062095
62308,MISCELLANEOUS,531,CTA BUS,1062242
62309,MISCELLANEOUS,866,STREET,1062095
62310,CHOKED,64,SIDEWALK,1062207
62311,MISCELLANEOUS,351,CONVENIENCE STORE,1062370
62312,TAKE DOWN (THROWN TO GROUND),192,RESIDENCE,1062378
62313,TAKE DOWN (THROWN TO GROUND),147,ALLEY,1062377
62314,"RACIAL / ETHNIC, ETC.",128,POLICE FACILITY/VEH PARKING LOT,1062385
62315,EXCESSIVE FORCE / ON DUTY - NO INJURY,12,RESIDENCE-GARAGE,1062274
62316,TWISTED EXTREMITIES (WRIST/ARM/LEG),102,STREET,1060186
62317,CLOSED HAND STRIKE (PUNCH),817,RESIDENCE,1060187
62318,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,143,STREET,1062644
62319,CLOSED HAND STRIKE (PUNCH),51,STREET,1062641
62320,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,841,ALLEY,1062647
62321,MISCELLANEOUS,202,HIGHWAY/EXPRESSWAY,1062461
62322,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,218,RESIDENCE,1062664
62323,KICKED,491,POLICE FACILITY/VEH PARKING LOT,1051711
62324,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,40,STREET,1061639
62325,EXCESSIVE FORCE / ON DUTY - INJURY,371,STREET,1061694
62326,MISCELLANEOUS,174,STREET,1061783
62327,CLOSED HAND STRIKE (PUNCH),926,ALLEY,1061486
62328,EXCESSIVE FORCE / ON DUTY - INJURY,45,POLICE FACILITY/VEH PARKING LOT,1061802
62329,EXCESSIVE FORCE / ON DUTY - INJURY,45,STREET,1061802
62330,MISCELLANEOUS,46,STREET,1061826
62331,FIREARM DISCHARGE WITH HITS / ON DUTY,1709,STREET,1061883
62332,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,793,SIDEWALK,1061882
62333,FIREARM DISCHARGE WITH HITS / ON DUTY,1709,STREET,1061883
62334,PROPER CARE - INJURY / DEATH,718,JAIL / LOCK-UP FACILITY,1061941
62335,HANDCUFF TOO TIGHT,167,STREET,1061454
62336,DOMESTIC INCIDENT - NOT PHYSICAL,718,RESIDENCE PORCH/HALLWAY,1061456
62337,PUSHED TO GROUND,604,STREET,1061505
62338,SEXUAL ORIENTATION,128,SIDEWALK,1061531
62339,EXCESSIVE FORCE / ON DUTY - INJURY,1105,STREET,1035595
62340,EXCESSIVE FORCE / ON DUTY - INJURY,807,STREET,1062195
62341,EXCESSIVE FORCE / ON DUTY - INJURY,62,RESIDENCE PORCH/HALLWAY,1062261
62342,MISCELLANEOUS,553,STREET,1062265
62343,TAKE DOWN (THROWN TO GROUND),859,CTA GARAGE / OTHER PROPERTY,1062254
62344,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,40,POLICE FACILITY/VEH PARKING LOT,1061639
62345,MISCELLANEOUS,227,RESIDENCE,1062171
62346,EXCESSIVE FORCE / ON DUTY - INJURY,514,"SCHOOL, PUBLIC, BUILDING",1059808
62347,INJURY,947,RESIDENCE,1059804
62348,"IMPACT WEAPON - UNAUTHORIZED (FLASHLIGHT, HANDCUFFS, ETC)",328,ALLEY,1059748
62349,"RACIAL / ETHNIC, ETC.",67,RESIDENCE,1059643
62350,MISCELLANEOUS,266,VEHICLE NON-COMMERCIAL,1059850
62351,KICKED,240,SIDEWALK,1059786
62352,PUSH/PULL/GRAB,875,STREET,1059843
62353,EXCESSIVE FORCE / ON DUTY - INJURY,182,STREET,1059845
62354,"RACIAL / ETHNIC, ETC.",809,PARKING LOT/GARAGE(NON.RESID.),1059505
62355,MISCELLANEOUS,70,STREET,1059692
62356,MISCELLANEOUS,423,JAIL / LOCK-UP FACILITY,1061821
62357,"RACIAL / ETHNIC, ETC.",663,STREET,1061823
62358,"RACIAL / ETHNIC, ETC.",150,SIDEWALK,1061851
62359,EXCESSIVE FORCE / ON DUTY - INJURY,112,"SCHOOL, PUBLIC, BUILDING",1061968
62360,MISCELLANEOUS,52,POLICE FACILITY/VEH PARKING LOT,1061993
62361,PUSH/PULL/GRAB,74,STREET,1061992
62362,PUSH/PULL/GRAB,90,STREET,1061925
62363,MISCELLANEOUS,366,PARKING LOT/GARAGE(NON.RESID.),1061853
62364,EXCESSIVE FORCE / ON DUTY - INJURY,162,POLICE FACILITY/VEH PARKING LOT,1061558
62365,PUSH/PULL/GRAB,41,STREET,1061551
62366,EXCESSIVE FORCE / ON DUTY - INJURY,507,SIDEWALK,1061115
62367,KICKED,47,PARK PROPERTY,1062093
62368,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,491,SIDEWALK,1062050
62369,EXCESSIVE FORCE / ON DUTY - INJURY,112,"SCHOOL, PUBLIC, BUILDING",1061968
62370,MISCELLANEOUS,86,"SCHOOL, PUBLIC, BUILDING",1061849
62371,MISCELLANEOUS,32,SIDEWALK,1062100
62373,"RACIAL / ETHNIC, ETC.",343,STREET,1062181
62374,TAKE DOWN (THROWN TO GROUND),282,SIDEWALK,1062174
62375,CHOKED,64,SIDEWALK,1062207
62376,CHOKED,623,STREET,1062213
62377,HANDCUFF TOO TIGHT,82,POLICE FACILITY/VEH PARKING LOT,1059853
62378,UNNECESSARY DISPLAY OF WEAPON / OFF DUTY,243,STREET,1059860
62379,HANDCUFF TOO TIGHT,82,STREET,1059853
62380,EXCESSIVE FORCE / ON DUTY - NO INJURY,192,STREET,1059943
62381,MISCELLANEOUS,114,SIDEWALK,1059956
62382,MISCELLANEOUS,99,STREET,1059953
62383,EXCESSIVE FORCE / ON DUTY - INJURY,108,SIDEWALK,1059955
62384,CLOSED HAND STRIKE (PUNCH),70,RESIDENTIAL YARD (FRONT/BACK),1060006
62385,EXCESSIVE FORCE / ON DUTY - INJURY,344,RESIDENCE,1061889
62386,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,470,STREET,1061932
62387,EXCESSIVE FORCE / ON DUTY - INJURY,51,STREET,1062077
62388,MISCELLANEOUS,866,STREET,1062095
62389,MISCELLANEOUS,866,STREET,1062095
62390,"RACIAL / ETHNIC, ETC.",371,GOVERNMENT BUILDING/PROPERTY,1060422
62391,TAKE DOWN (THROWN TO GROUND),211,SIDEWALK,1060421
62392,PROPER CARE - INJURY / DEATH,28,POLICE FACILITY/VEH PARKING LOT,1060230
62393,DOMESTIC ALTERCATION - PHYSICAL ABUSE,512,RESIDENCE,1060361
62394,EXCESSIVE FORCE / ON DUTY - INJURY,347,RESIDENCE,1060449
62395,PUSH/PULL/GRAB,791,SIDEWALK,1060455
62397,MISCELLANEOUS,167,"SCHOOL, PUBLIC, BUILDING",1060447
62398,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,367,RESIDENCE,1060345
62399,MISCELLANEOUS,491,SIDEWALK,1060344
62400,EXCESSIVE FORCE / ON DUTY - INJURY,90,STREET,1060977
62401,EXCESSIVE FORCE / ON DUTY - NO INJURY,29,STREET,1060431
62402,TAKE DOWN (THROWN TO GROUND),211,SIDEWALK,1060421
62403,CLOSED HAND STRIKE (PUNCH),389,SIDEWALK,1061104
62404,CHOKED,357,OTHER,1061177
62405,OPEN HAND STRIKE (SLAP),954,RESIDENTIAL YARD (FRONT/BACK),1061122
62406,EXCESSIVE FORCE / ON DUTY - INJURY,660,STREET,1060937
62407,MISCELLANEOUS,274,STREET,1059200
62408,PUSH/PULL/GRAB,232,APARTMENT,1059306
62409,MISCELLANEOUS,363,POLICE FACILITY/VEH PARKING LOT,1059084
62410,EXCESSIVE FORCE / ON DUTY - INJURY,950,APARTMENT,1059308
62411,KICKED,922,APARTMENT,1059228
62412,EXCESSIVE FORCE / ON DUTY - NO INJURY,115,STREET,1059339
62413,IMPACT WEAPON - AUTHORIZED (BATON / ASP),473,RESIDENCE,1060501
62414,IMPROPER SEARCH OF PERSON ,84,SIDEWALK,1060527
62415,PUSHED TO GROUND,27,RESIDENCE,1060254
62416,CLOSED HAND STRIKE (PUNCH),70,RESIDENTIAL YARD (FRONT/BACK),1060006
62417,TWISTED EXTREMITIES (WRIST/ARM/LEG),45,APARTMENT,1061036
62418,EXCESSIVE FORCE / ON DUTY - INJURY,955,RESIDENCE,1060607
62419,MISCELLANEOUS,790,APARTMENT,1061141
62420,CLOSED HAND STRIKE (PUNCH),500,STREET,1061127
62421,MISCELLANEOUS,289,STREET,1061219
62422,EXCESSIVE FORCE / ON DUTY - INJURY,970,STREET,1061232
62423,MISUSE OF DEPARTMENT EQUIPMENT / SUPPLIES,336,POLICE FACILITY/VEH PARKING LOT,1059385
62424,PUSH/PULL/GRAB,198,STREET,1059397
62425,PUSH/PULL/GRAB,50,STREET,1059398
62426,EXCESSIVE FORCE / ON DUTY - INJURY,736,RESIDENCE PORCH/HALLWAY,1042572
62427,MISCELLANEOUS,103,CTA PLATFORM,1059419
62428,OPEN HAND STRIKE (SLAP),570,STREET,1059275
62429,FIREARM DISCHARGE WITH HITS - HANDGUN,919,STREET,1059373
62430,MISCELLANEOUS,416,POLICE FACILITY/VEH PARKING LOT,1059381
62431,HANDCUFF TOO TIGHT,294,POLICE FACILITY/VEH PARKING LOT,1060429
62432,UNNECESSARY PHYSICAL CONTACT / ON DUTY - NO INJURY,485,STREET,1060505
62433,PUSH/PULL/GRAB,170,RESIDENCE,1060536
62434,"RACIAL / ETHNIC, ETC.",371,GOVERNMENT BUILDING/PROPERTY,1060422
62436,OPEN HAND STRIKE (SLAP),44,SIDEWALK,1060545
62437,EXCESSIVE FORCE / ON DUTY - INJURY,347,RESIDENCE,1060449
62438,CHOKED,212,"SCHOOL, PUBLIC, BUILDING",1060407
62439,MISCELLANEOUS,254,SIDEWALK,1060115
62440,MISCELLANEOUS,6,POLICE FACILITY/VEH PARKING LOT,1060616
62441,MISCELLANEOUS,20,STREET,1060617
62442,MISCELLANEOUS,62,STREET,1061063
62443,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,816,RESIDENCE,1061053
62444,KICKED,844,"SCHOOL, PUBLIC, GROUNDS",1061241
62445,VEHICLE,785,STREET,1061244
62446,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,183,STREET,1061091
62447,HANDCUFF TOO TIGHT,171,SIDEWALK,1061254
62448,HARASSMENT,81,POLICE FACILITY/VEH PARKING LOT,1061255
62449,PUSH/PULL/GRAB,67,CTA BUS STOP,1060964
62450,CHOKED,357,OTHER,1061177
62451,PUSH/PULL/GRAB,206,STREET,1061258
62452,EXCESSIVE FORCE / ON DUTY - INJURY,108,STREET,1061263
62453,EXCESSIVE FORCE / ON DUTY - NO INJURY,1177,STREET,1061264
62454,EXCESSIVE FORCE / ON DUTY - NO INJURY,115,STREET,1059339
62455,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,257,STREET,1059563
62456,CLOSED HAND STRIKE (PUNCH),330,SIDEWALK,1059567
62457,CLOSED HAND STRIKE (PUNCH),454,"SCHOOL, PUBLIC, BUILDING",1059593
62458,PUSH/PULL/GRAB,930,STREET,1060619
62459,MISCELLANEOUS,38,RESIDENCE,1060626
62460,MISCELLANEOUS,80,CTA BUS STOP,1060632
62461,CHOKED,415,STREET,1060641
62462,EXCESSIVE FORCE / ON DUTY - INJURY,375,JAIL / LOCK-UP FACILITY,1053437
62463,CLOSED HAND STRIKE (PUNCH),239,CTA PLATFORM,1059817
62464,MISCELLANEOUS,167,"SCHOOL, PUBLIC, BUILDING",1060447
62465,TAKE DOWN (THROWN TO GROUND),876,STREET,1060566
62466,EXCESSIVE FORCE / ON DUTY - INJURY,108,SIDEWALK,1059955
62467,MISCELLANEOUS,99,STREET,1059953
62468,MISCELLANEOUS,457,BAR OR TAVERN,1061081
62469,PUSH/PULL/GRAB,911,STREET,1061088
62470,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,183,STREET,1061091
62471,FIREARM DISCHARGE NO HITS - HANDGUN,210,STREET,1061097
62472,EXCESSIVE FORCE / ON DUTY - INJURY,938,GAS STATION,1060989
62473,PUSH/PULL/GRAB,150,STREET,1060979
62474,FIREARM DISCHARGE NO HITS - HANDGUN,210,ALLEY,1061097
62475,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,143,RESIDENCE,1061100
62476,FIREARM DISCHARGE NO HITS - HANDGUN,210,STREET,1061097
62477,FIREARM DISCHARGE NO HITS - HANDGUN,210,ALLEY,1061097
62478,UNNECESSARY DISPLAY OF WEAPON / ON DUTY,816,RESIDENCE,1061053
